epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,0.0001,no,9.0,wbce,"(60, 30, 15)",0.8548681858750588
15.0,16.0,0.0001,no,12.0,bce,"(20, 10, 5)",0.8456429963557043
15.0,16.0,0.0001,no,12.0,bce,"(40, 20, 10)",0.8470266371147193
15.0,16.0,0.0001,no,12.0,bce,"(60, 30, 15)",0.8392796754499966
15.0,16.0,0.0001,no,12.0,wbce,"(20, 10, 5)",0.8361825149865837
15.0,16.0,0.0001,no,12.0,wbce,"(40, 20, 10)",0.8405448452426433
15.0,16.0,0.0001,no,12.0,wbce,"(60, 30, 15)",0.8461362160700862
15.0,16.0,1e-05,yes,6.0,bce,"(20, 10, 5)",0.5524363483743371
15.0,16.0,1e-05,yes,6.0,bce,"(40, 20, 10)",0.5469750099020755
15.0,16.0,1e-05,yes,6.0,bce,"(60, 30, 15)",0.5794427741684406
15.0,16.0,1e-05,yes,6.0,wbce,"(20, 10, 5)",0.5590583793496537
15.0,16.0,1e-05,yes,6.0,wbce,"(40, 20, 10)",0.554269604967374
15.0,16.0,1e-05,yes,6.0,wbce,"(60, 30, 15)",0.5641351604799479
15.0,16.0,1e-05,yes,9.0,bce,"(20, 10, 5)",0.5822744332250328
15.0,16.0,1e-05,yes,9.0,bce,"(40, 20, 10)",0.5925917875671735
15.0,16.0,1e-05,yes,9.0,bce,"(60, 30, 15)",0.5894573827020865
15.0,16.0,1e-05,yes,9.0,wbce,"(20, 10, 5)",0.5648424427370101
15.0,16.0,1e-05,yes,9.0,wbce,"(40, 20, 10)",0.5699094727726988
15.0,16.0,1e-05,yes,9.0,wbce,"(60, 30, 15)",0.6030675412320762
15.0,16.0,1e-05,yes,12.0,bce,"(20, 10, 5)",0.5770587859174233
15.0,16.0,1e-05,yes,12.0,bce,"(40, 20, 10)",0.6183171607550709
15.0,16.0,1e-05,yes,12.0,bce,"(60, 30, 15)",0.6005490366134332
15.0,16.0,1e-05,yes,12.0,wbce,"(20, 10, 5)",0.5773984113932286
15.0,16.0,1e-05,yes,12.0,wbce,"(40, 20, 10)",0.5648651939183158
15.0,16.0,1e-05,yes,12.0,wbce,"(60, 30, 15)",0.5771858483843473
15.0,16.0,1e-05,no,6.0,bce,"(20, 10, 5)",0.6520480997270486
15.0,16.0,1e-05,no,6.0,bce,"(40, 20, 10)",0.729150451568023
15.0,16.0,1e-05,no,6.0,bce,"(60, 30, 15)",0.7615223667261425
