epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,0.0001,no,9.0,wbce,"(60, 30, 15)",0.8550110527897951
15.0,16.0,0.0001,no,12.0,bce,"(20, 10, 5)",0.8398105153724412
15.0,16.0,0.0001,no,12.0,bce,"(40, 20, 10)",0.8439956870054042
15.0,16.0,0.0001,no,12.0,bce,"(60, 30, 15)",0.8462793290908422
15.0,16.0,0.0001,no,12.0,wbce,"(20, 10, 5)",0.818654206132812
15.0,16.0,0.0001,no,12.0,wbce,"(40, 20, 10)",0.8499670446818172
15.0,16.0,0.0001,no,12.0,wbce,"(60, 30, 15)",0.839014353793441
15.0,16.0,1e-05,yes,6.0,bce,"(20, 10, 5)",0.6364332676877122
15.0,16.0,1e-05,yes,6.0,bce,"(40, 20, 10)",0.6191182198001437
15.0,16.0,1e-05,yes,6.0,bce,"(60, 30, 15)",0.6443952962007441
15.0,16.0,1e-05,yes,6.0,wbce,"(20, 10, 5)",0.6123347508139134
15.0,16.0,1e-05,yes,6.0,wbce,"(40, 20, 10)",0.6319630352855066
15.0,16.0,1e-05,yes,6.0,wbce,"(60, 30, 15)",0.6501443817108856
15.0,16.0,1e-05,yes,9.0,bce,"(20, 10, 5)",0.6271923426288857
15.0,16.0,1e-05,yes,9.0,bce,"(40, 20, 10)",0.6078315857443853
15.0,16.0,1e-05,yes,9.0,bce,"(60, 30, 15)",0.6451460464906448
15.0,16.0,1e-05,yes,9.0,wbce,"(20, 10, 5)",0.6332510751175261
15.0,16.0,1e-05,yes,9.0,wbce,"(40, 20, 10)",0.6201097051075525
15.0,16.0,1e-05,yes,9.0,wbce,"(60, 30, 15)",0.6339082084345434
15.0,16.0,1e-05,yes,12.0,bce,"(20, 10, 5)",0.6294170439043234
15.0,16.0,1e-05,yes,12.0,bce,"(40, 20, 10)",0.636084047314497
15.0,16.0,1e-05,yes,12.0,bce,"(60, 30, 15)",0.6495692529036736
15.0,16.0,1e-05,yes,12.0,wbce,"(20, 10, 5)",0.6118555660517643
15.0,16.0,1e-05,yes,12.0,wbce,"(40, 20, 10)",0.6260788405988001
15.0,16.0,1e-05,yes,12.0,wbce,"(60, 30, 15)",0.6068817766342122
15.0,16.0,1e-05,no,6.0,bce,"(20, 10, 5)",0.6751008569396136
15.0,16.0,1e-05,no,6.0,bce,"(40, 20, 10)",0.7000095039506089
15.0,16.0,1e-05,no,6.0,bce,"(60, 30, 15)",0.7100044639051363
15.0,16.0,1e-05,no,6.0,wbce,"(20, 10, 5)",0.6441031248271488
