epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,1e-05,yes,6.0,bce,"(60, 30, 15)",0.6388780383634183
15.0,16.0,1e-05,yes,6.0,wbce,"(20, 10, 5)",0.6233786934764958
15.0,16.0,1e-05,yes,6.0,wbce,"(40, 20, 10)",0.6329134537439843
15.0,16.0,1e-05,yes,6.0,wbce,"(60, 30, 15)",0.6433939035056323
15.0,16.0,1e-05,yes,9.0,bce,"(20, 10, 5)",0.6286700666522074
15.0,16.0,1e-05,yes,9.0,bce,"(40, 20, 10)",0.6190720415318154
15.0,16.0,1e-05,yes,9.0,bce,"(60, 30, 15)",0.6364573568733669
15.0,16.0,1e-05,yes,9.0,wbce,"(20, 10, 5)",0.6269273609856506
15.0,16.0,1e-05,yes,9.0,wbce,"(40, 20, 10)",0.6453472952110634
15.0,16.0,1e-05,yes,9.0,wbce,"(60, 30, 15)",0.6397865311819916
15.0,16.0,1e-05,yes,12.0,bce,"(20, 10, 5)",0.6379974682639711
15.0,16.0,1e-05,yes,12.0,bce,"(40, 20, 10)",0.6517260313819101
15.0,16.0,1e-05,yes,12.0,bce,"(60, 30, 15)",0.6491441410777474
15.0,16.0,1e-05,yes,12.0,wbce,"(20, 10, 5)",0.6402116155283398
15.0,16.0,1e-05,yes,12.0,wbce,"(40, 20, 10)",0.6279473834484081
15.0,16.0,1e-05,yes,12.0,wbce,"(60, 30, 15)",0.6377503518972311
15.0,16.0,1e-05,no,6.0,bce,"(20, 10, 5)",0.6996213442700561
15.0,16.0,1e-05,no,6.0,bce,"(40, 20, 10)",0.7340152552041156
15.0,16.0,1e-05,no,6.0,bce,"(60, 30, 15)",0.7582376554451766
15.0,16.0,1e-05,no,6.0,wbce,"(20, 10, 5)",0.6750085414763319
15.0,16.0,1e-05,no,6.0,wbce,"(40, 20, 10)",0.7012601821547929
15.0,16.0,1e-05,no,6.0,wbce,"(60, 30, 15)",0.7175086571083499
15.0,16.0,1e-05,no,9.0,bce,"(20, 10, 5)",0.7187149696887739
15.0,16.0,1e-05,no,9.0,bce,"(40, 20, 10)",0.7414139674221544
15.0,16.0,1e-05,no,9.0,bce,"(60, 30, 15)",0.7493855242195778
15.0,16.0,1e-05,no,9.0,wbce,"(20, 10, 5)",0.6869281187462303
15.0,16.0,1e-05,no,9.0,wbce,"(40, 20, 10)",0.7012103463225942
15.0,16.0,1e-05,no,9.0,wbce,"(60, 30, 15)",0.7239392500521621
15.0,16.0,1e-05,no,12.0,bce,"(20, 10, 5)",0.723190166564485
15.0,16.0,1e-05,no,12.0,bce,"(40, 20, 10)",0.7455175137212287
15.0,16.0,1e-05,no,12.0,bce,"(60, 30, 15)",0.7445141117333874
15.0,16.0,1e-05,no,12.0,wbce,"(20, 10, 5)",0.6890199214990949
15.0,16.0,1e-05,no,12.0,wbce,"(40, 20, 10)",0.7064793884317148
15.0,16.0,1e-05,no,12.0,wbce,"(60, 30, 15)",0.7357739094904451
15.0,32.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.7511865740558316
15.0,32.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.7887880011558916
15.0,32.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.7980297216029673
15.0,32.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.726772103492262
15.0,32.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.7450511123313461
15.0,32.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.751795803282998
15.0,32.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.7585125979250713
15.0,32.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.7952799064166635
15.0,32.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.7759131686590527
15.0,32.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.718038210621882
15.0,32.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.7586863812065395
15.0,32.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.7682930537495384
15.0,32.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.7518726611529539
15.0,32.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.7771227391350388
15.0,32.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.7905491802137581
15.0,32.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.7249083216934298
15.0,32.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.7633663385879718
15.0,32.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.7579819959561193
15.0,32.0,0.001,no,6.0,bce,"(20, 10, 5)",0.8719549204737432
15.0,32.0,0.001,no,6.0,bce,"(40, 20, 10)",0.8508180095598455
15.0,32.0,0.001,no,6.0,bce,"(60, 30, 15)",0.8500123537483791
15.0,32.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.8288552568268299
15.0,32.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.8469452040459532
15.0,32.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.8482482317709327
15.0,32.0,0.001,no,9.0,bce,"(20, 10, 5)",0.8399603936148857
15.0,32.0,0.001,no,9.0,bce,"(40, 20, 10)",0.8387605429208178
15.0,32.0,0.001,no,9.0,bce,"(60, 30, 15)",0.8413338108376717
15.0,32.0,0.001,no,9.0,wbce,"(20, 10, 5)",0.8529976317229937
15.0,32.0,0.001,no,9.0,wbce,"(40, 20, 10)",0.8475304207208162
15.0,32.0,0.001,no,9.0,wbce,"(60, 30, 15)",0.8338563337703269
15.0,32.0,0.001,no,12.0,bce,"(20, 10, 5)",0.8272548683933815
15.0,32.0,0.001,no,12.0,bce,"(40, 20, 10)",0.8300600796662638
15.0,32.0,0.001,no,12.0,bce,"(60, 30, 15)",0.8345514607799106
15.0,32.0,0.001,no,12.0,wbce,"(20, 10, 5)",0.8199442845768664
15.0,32.0,0.001,no,12.0,wbce,"(40, 20, 10)",0.8281858288419324
15.0,32.0,0.001,no,12.0,wbce,"(60, 30, 15)",0.8342866833376098
15.0,32.0,0.0001,yes,6.0,bce,"(20, 10, 5)",0.6451610701932317
