epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,0.0001,no,9.0,wbce,"(60, 30, 15)",0.8523470019827868
15.0,16.0,0.0001,no,12.0,bce,"(20, 10, 5)",0.8510559150379463
15.0,16.0,0.0001,no,12.0,bce,"(40, 20, 10)",0.8753859599134367
15.0,16.0,0.0001,no,12.0,bce,"(60, 30, 15)",0.8666610944712847
15.0,16.0,0.0001,no,12.0,wbce,"(20, 10, 5)",0.8391795631562332
15.0,16.0,0.0001,no,12.0,wbce,"(40, 20, 10)",0.8560207623796963
15.0,16.0,0.0001,no,12.0,wbce,"(60, 30, 15)",0.8618978782939054
15.0,16.0,1e-05,yes,6.0,bce,"(20, 10, 5)",0.516674549626693
15.0,16.0,1e-05,yes,6.0,bce,"(40, 20, 10)",0.6217725829446129
15.0,16.0,1e-05,yes,6.0,bce,"(60, 30, 15)",0.6639465609967791
15.0,16.0,1e-05,yes,6.0,wbce,"(20, 10, 5)",0.5427336926436351
15.0,16.0,1e-05,yes,6.0,wbce,"(40, 20, 10)",0.5571048644855805
15.0,16.0,1e-05,yes,6.0,wbce,"(60, 30, 15)",0.5919208143513317
15.0,16.0,1e-05,yes,9.0,bce,"(20, 10, 5)",0.5358281704048925
15.0,16.0,1e-05,yes,9.0,bce,"(40, 20, 10)",0.6265641841323444
15.0,16.0,1e-05,yes,9.0,bce,"(60, 30, 15)",0.6813177873753063
15.0,16.0,1e-05,yes,9.0,wbce,"(20, 10, 5)",0.5386541913450515
15.0,16.0,1e-05,yes,9.0,wbce,"(40, 20, 10)",0.5967077850960022
15.0,16.0,1e-05,yes,9.0,wbce,"(60, 30, 15)",0.6187480358804407
15.0,16.0,1e-05,yes,12.0,bce,"(20, 10, 5)",0.5484892827455368
15.0,16.0,1e-05,yes,12.0,bce,"(40, 20, 10)",0.5977705629044351
15.0,16.0,1e-05,yes,12.0,bce,"(60, 30, 15)",0.6209309402470965
15.0,16.0,1e-05,yes,12.0,wbce,"(20, 10, 5)",0.5278871619992659
15.0,16.0,1e-05,yes,12.0,wbce,"(40, 20, 10)",0.6211823516182161
15.0,16.0,1e-05,yes,12.0,wbce,"(60, 30, 15)",0.5872587195671896
15.0,16.0,1e-05,no,6.0,bce,"(20, 10, 5)",0.8218515277912785
15.0,16.0,1e-05,no,6.0,bce,"(40, 20, 10)",0.8451554816269318
15.0,16.0,1e-05,no,6.0,bce,"(60, 30, 15)",0.8616213139422019
15.0,16.0,1e-05,no,6.0,wbce,"(20, 10, 5)",0.8003699309259531
15.0,16.0,1e-05,no,6.0,wbce,"(40, 20, 10)",0.8283531731678205
15.0,16.0,1e-05,no,6.0,wbce,"(60, 30, 15)",0.8463662655178504
15.0,16.0,1e-05,no,9.0,bce,"(20, 10, 5)",0.8260208954298683
15.0,16.0,1e-05,no,9.0,bce,"(40, 20, 10)",0.8607189744678466
15.0,16.0,1e-05,no,9.0,bce,"(60, 30, 15)",0.869306734053357
15.0,16.0,1e-05,no,9.0,wbce,"(20, 10, 5)",0.8251920948481679
15.0,16.0,1e-05,no,9.0,wbce,"(40, 20, 10)",0.8449073117612299
15.0,16.0,1e-05,no,9.0,wbce,"(60, 30, 15)",0.8555137121691208
15.0,16.0,1e-05,no,12.0,bce,"(20, 10, 5)",0.8449614732658682
15.0,16.0,1e-05,no,12.0,bce,"(40, 20, 10)",0.868621279024036
15.0,16.0,1e-05,no,12.0,bce,"(60, 30, 15)",0.8718883047949885
15.0,16.0,1e-05,no,12.0,wbce,"(20, 10, 5)",0.8249448946258312
15.0,16.0,1e-05,no,12.0,wbce,"(40, 20, 10)",0.8496216974799146
15.0,16.0,1e-05,no,12.0,wbce,"(60, 30, 15)",0.8540044390657296
15.0,32.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.8721997501143951
15.0,32.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.8875044157324555
15.0,32.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.8905391530208657
15.0,32.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.8508549703263425
15.0,32.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.8843157312175984
15.0,32.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.8827435814182598
15.0,32.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.8785590639854268
15.0,32.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.8896458878478727
15.0,32.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.8933648078269852
15.0,32.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.8814217079421511
15.0,32.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.8857985830609847
15.0,32.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.8812652096375793
15.0,32.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.8883962904174192
15.0,32.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.8929986488354572
15.0,32.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.8866708325316816
15.0,32.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.8786198724853388
15.0,32.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.8867765608634421
15.0,32.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.8847369892056473
15.0,32.0,0.001,no,6.0,bce,"(20, 10, 5)",0.8681369895585588
15.0,32.0,0.001,no,6.0,bce,"(40, 20, 10)",0.8684641014452098
15.0,32.0,0.001,no,6.0,bce,"(60, 30, 15)",0.8687299546393433
15.0,32.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.866401357417898
15.0,32.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.8502979019561491
15.0,32.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.8532634914804319
15.0,32.0,0.001,no,9.0,bce,"(20, 10, 5)",0.8616042787364423
15.0,32.0,0.001,no,9.0,bce,"(40, 20, 10)",0.85905604213674
15.0,32.0,0.001,no,9.0,bce,"(60, 30, 15)",0.8598795628973003
15.0,32.0,0.001,no,9.0,wbce,"(20, 10, 5)",0.8493777184875467
15.0,32.0,0.001,no,9.0,wbce,"(40, 20, 10)",0.843957288797383
15.0,32.0,0.001,no,9.0,wbce,"(60, 30, 15)",0.8491003444221533
15.0,32.0,0.001,no,12.0,bce,"(20, 10, 5)",0.8677218834843518
15.0,32.0,0.001,no,12.0,bce,"(40, 20, 10)",0.873416721536543
15.0,32.0,0.001,no,12.0,bce,"(60, 30, 15)",0.8588610995477381
15.0,32.0,0.001,no,12.0,wbce,"(20, 10, 5)",0.8473682649573003
15.0,32.0,0.001,no,12.0,wbce,"(40, 20, 10)",0.8620305755404472
15.0,32.0,0.001,no,12.0,wbce,"(60, 30, 15)",0.8591760041728346
15.0,32.0,0.0001,yes,6.0,bce,"(20, 10, 5)",0.7360442701089247
15.0,32.0,0.0001,yes,6.0,bce,"(40, 20, 10)",0.7965255100780434
15.0,32.0,0.0001,yes,6.0,bce,"(60, 30, 15)",0.8181727387310973
15.0,32.0,0.0001,yes,6.0,wbce,"(20, 10, 5)",0.6623736651031805
15.0,32.0,0.0001,yes,6.0,wbce,"(40, 20, 10)",0.7553870008955258
15.0,32.0,0.0001,yes,6.0,wbce,"(60, 30, 15)",0.7913077432016603
15.0,32.0,0.0001,yes,9.0,bce,"(20, 10, 5)",0.7734342627550879
15.0,32.0,0.0001,yes,9.0,bce,"(40, 20, 10)",0.8161531638120012
15.0,32.0,0.0001,yes,9.0,bce,"(60, 30, 15)",0.8199253513970199
15.0,32.0,0.0001,yes,9.0,wbce,"(20, 10, 5)",0.7543512190211098
15.0,32.0,0.0001,yes,9.0,wbce,"(40, 20, 10)",0.8080358473659071
15.0,32.0,0.0001,yes,9.0,wbce,"(60, 30, 15)",0.7821976862901948
15.0,32.0,0.0001,yes,12.0,bce,"(20, 10, 5)",0.7771349346785831
15.0,32.0,0.0001,yes,12.0,bce,"(40, 20, 10)",0.8089873721707274
15.0,32.0,0.0001,yes,12.0,bce,"(60, 30, 15)",0.8210698928314799
15.0,32.0,0.0001,yes,12.0,wbce,"(20, 10, 5)",0.6786979972599824
15.0,32.0,0.0001,yes,12.0,wbce,"(40, 20, 10)",0.7608773055120657
15.0,32.0,0.0001,yes,12.0,wbce,"(60, 30, 15)",0.7914832022942903
15.0,32.0,0.0001,no,6.0,bce,"(20, 10, 5)",0.8837564555394963
15.0,32.0,0.0001,no,6.0,bce,"(40, 20, 10)",0.8879909364126467
15.0,32.0,0.0001,no,6.0,bce,"(60, 30, 15)",0.8611557506135665
15.0,32.0,0.0001,no,6.0,wbce,"(20, 10, 5)",0.8847635428892682
15.0,32.0,0.0001,no,6.0,wbce,"(40, 20, 10)",0.8823401769214131
15.0,32.0,0.0001,no,6.0,wbce,"(60, 30, 15)",0.8711451282624276
15.0,32.0,0.0001,no,9.0,bce,"(20, 10, 5)",0.8804895974847241
15.0,32.0,0.0001,no,9.0,bce,"(40, 20, 10)",0.8710094514387919
15.0,32.0,0.0001,no,9.0,bce,"(60, 30, 15)",0.8808096998294727
15.0,32.0,0.0001,no,9.0,wbce,"(20, 10, 5)",0.8721177354760327
15.0,32.0,0.0001,no,9.0,wbce,"(40, 20, 10)",0.8730130529555921
15.0,32.0,0.0001,no,9.0,wbce,"(60, 30, 15)",0.869396229379246
15.0,32.0,0.0001,no,12.0,bce,"(20, 10, 5)",0.8657263864717221
15.0,32.0,0.0001,no,12.0,bce,"(40, 20, 10)",0.8660572110028334
15.0,32.0,0.0001,no,12.0,bce,"(60, 30, 15)",0.8731359709900479
15.0,32.0,0.0001,no,12.0,wbce,"(20, 10, 5)",0.8683244922098962
15.0,32.0,0.0001,no,12.0,wbce,"(40, 20, 10)",0.8580153750517164
15.0,32.0,0.0001,no,12.0,wbce,"(60, 30, 15)",0.8671492465287999
15.0,32.0,1e-05,yes,6.0,bce,"(20, 10, 5)",0.5239685097055199
15.0,32.0,1e-05,yes,6.0,bce,"(40, 20, 10)",0.5909390527241682
15.0,32.0,1e-05,yes,6.0,bce,"(60, 30, 15)",0.5753787119470891
15.0,32.0,1e-05,yes,6.0,wbce,"(20, 10, 5)",0.5425488830830031
15.0,32.0,1e-05,yes,6.0,wbce,"(40, 20, 10)",0.5738301798105298
15.0,32.0,1e-05,yes,6.0,wbce,"(60, 30, 15)",0.4890679650189568
15.0,32.0,1e-05,yes,9.0,bce,"(20, 10, 5)",0.5756458516467188
15.0,32.0,1e-05,yes,9.0,bce,"(40, 20, 10)",0.5913946875631081
15.0,32.0,1e-05,yes,9.0,bce,"(60, 30, 15)",0.5651174914035435
15.0,32.0,1e-05,yes,9.0,wbce,"(20, 10, 5)",0.5253564055602679
15.0,32.0,1e-05,yes,9.0,wbce,"(40, 20, 10)",0.5521947148992575
