epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,1e-05,yes,6.0,bce,"(60, 30, 15)",0.6240853146716069
15.0,16.0,1e-05,yes,6.0,wbce,"(20, 10, 5)",0.629363725085479
15.0,16.0,1e-05,yes,6.0,wbce,"(40, 20, 10)",0.5787990319214243
15.0,16.0,1e-05,yes,6.0,wbce,"(60, 30, 15)",0.5959522021540171
15.0,16.0,1e-05,yes,9.0,bce,"(20, 10, 5)",0.5964494261035104
15.0,16.0,1e-05,yes,9.0,bce,"(40, 20, 10)",0.6395864058914462
15.0,16.0,1e-05,yes,9.0,bce,"(60, 30, 15)",0.5962725549227254
15.0,16.0,1e-05,yes,9.0,wbce,"(20, 10, 5)",0.6078568944294828
15.0,16.0,1e-05,yes,9.0,wbce,"(40, 20, 10)",0.6070626317224673
15.0,16.0,1e-05,yes,9.0,wbce,"(60, 30, 15)",0.6152501390845817
15.0,16.0,1e-05,yes,12.0,bce,"(20, 10, 5)",0.6291500189005409
15.0,16.0,1e-05,yes,12.0,bce,"(40, 20, 10)",0.5972752897354127
15.0,16.0,1e-05,yes,12.0,bce,"(60, 30, 15)",0.600319317681044
15.0,16.0,1e-05,yes,12.0,wbce,"(20, 10, 5)",0.5952597946670883
15.0,16.0,1e-05,yes,12.0,wbce,"(40, 20, 10)",0.605383815657354
15.0,16.0,1e-05,yes,12.0,wbce,"(60, 30, 15)",0.6124337065957047
15.0,16.0,1e-05,no,6.0,bce,"(20, 10, 5)",0.6882747859970099
15.0,16.0,1e-05,no,6.0,bce,"(40, 20, 10)",0.6963294879303882
15.0,16.0,1e-05,no,6.0,bce,"(60, 30, 15)",0.6965356674151276
15.0,16.0,1e-05,no,6.0,wbce,"(20, 10, 5)",0.6410631619358592
15.0,16.0,1e-05,no,6.0,wbce,"(40, 20, 10)",0.6552406876869387
15.0,16.0,1e-05,no,6.0,wbce,"(60, 30, 15)",0.654952575429482
15.0,16.0,1e-05,no,9.0,bce,"(20, 10, 5)",0.6534001890572241
15.0,16.0,1e-05,no,9.0,bce,"(40, 20, 10)",0.6933746538294431
15.0,16.0,1e-05,no,9.0,bce,"(60, 30, 15)",0.7062963293197674
15.0,16.0,1e-05,no,9.0,wbce,"(20, 10, 5)",0.6689497664172083
15.0,16.0,1e-05,no,9.0,wbce,"(40, 20, 10)",0.6695025497615165
15.0,16.0,1e-05,no,9.0,wbce,"(60, 30, 15)",0.6807515678631862
15.0,16.0,1e-05,no,12.0,bce,"(20, 10, 5)",0.6733261472413584
15.0,16.0,1e-05,no,12.0,bce,"(40, 20, 10)",0.6970907185793099
15.0,16.0,1e-05,no,12.0,bce,"(60, 30, 15)",0.6932425324641632
15.0,16.0,1e-05,no,12.0,wbce,"(20, 10, 5)",0.6557974660229081
15.0,16.0,1e-05,no,12.0,wbce,"(40, 20, 10)",0.6479181117828735
15.0,16.0,1e-05,no,12.0,wbce,"(60, 30, 15)",0.6351737729985921
15.0,32.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.7019764420967749
15.0,32.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.7305452903260886
